participant,condition,conditionId,iconId,iconPosition,trial,repeat,startTimestamp,duration,movement,scrolling,errors
1,0,p20,10,12,0,0,1506338112835,1374,0.13959211089464954,0,0
1,0,p20,67,9,1,0,1506338114210,2490,0.13880956453689905,0,0
1,0,p20,40,18,2,0,1506338116701,1763,0.0695092968553439,0,0
1,0,p20,41,6,3,0,1506338118465,1887,0.13517022112949806,0,0
1,0,p20,30,3,4,0,1506338120353,2859,0.24541874344835346,0,0
1,0,p20,10,12,0,1,1506338123213,1774,0.07646382156899303,0,0
1,0,p20,40,18,1,1,1506338124989,1495,0.040312673750605425,0,0
1,0,p20,41,6,2,1,1506338126485,1641,0.12472980204534433,0,0
1,0,p20,30,3,3,1,1506338128128,2221,0.052138329242124776,0,0
1,0,p20,67,9,4,1,1506338130350,5215,0.25270968693034457,0,1
1,1,c150,104,149,0,0,1506338318299,20586,3.4377408567617156,28.93320608139038,0
1,1,c150,17,27,1,0,1506338338887,17288,2.72811026372583,24.714580535888672,0
1,1,c150,7,100,2,0,1506338356177,12140,1.7628664620591061,14.380953311920166,0
1,1,c150,40,84,3,0,1506338368318,15849,2.978380076305951,22.526161193847656,0
1,1,c150,121,48,4,0,1506338384168,7292,0.7715515185971478,6.718025207519531,0
1,1,c150,7,100,0,1,1506338391461,9705,1.4667495402583834,10.656505107879639,0
1,1,c150,104,149,1,1,1506338401167,6321,2.899257757329446,17.51226568222046,0
1,1,c150,17,27,2,1,1506338407490,9001,3.8798399793013423,23.457359790802002,0
1,1,c150,40,84,3,1,1506338416492,9884,2.248116965872834,15.261177062988281,0
1,1,c150,121,48,4,1,1506338426377,6567,1.2022873699980101,7.13977575302124,0
1,2,p150,115,18,0,0,1506338441053,4032,0.2645457696194761,0,0
1,2,p150,60,73,1,0,1506338445087,3483,0.21648288593520845,0,0
1,2,p150,123,124,2,0,1506338448571,4054,0.31690220903527727,0,0
1,2,p150,99,113,3,0,1506338452626,4936,0.15542817936999245,0,0
1,2,p150,22,54,4,0,1506338457563,4600,0.3372226389603129,0,0
1,2,p150,115,18,0,1,1506338462165,2076,0.32683365959240446,0,0
1,2,p150,60,73,1,1,1506338464242,3640,0.24914037825170143,0,0
1,2,p150,123,124,2,1,1506338467883,2859,0.33034693943086957,0,0
1,2,p150,22,54,3,1,1506338470743,6712,0.8230035548377764,0,0
1,2,p150,99,113,4,1,1506338477456,4277,0.25194893027753745,0,0
1,3,s50,28,24,0,0,1506338491149,4635,0.27266463087367,3.7753000259399414,0
1,3,s50,44,43,1,0,1506338495785,8264,1.0929313406126193,11.598436832427979,0
1,3,s50,126,10,2,0,1506338504051,8197,0.6989056852291795,8.622744083404541,0
1,3,s50,41,34,3,0,1506338512249,7047,0.6950934918059376,7.783753395080566,0
1,3,s50,52,9,4,0,1506338519297,6690,1.0389774986082772,8.748411655426025,0
1,3,s50,126,10,0,1,1506338525989,2008,0.038859495740691426,0.013951778411865234,0
1,3,s50,44,43,1,1,1506338527998,6812,1.4656401554565799,11.395654678344727,0
1,3,s50,41,34,2,1,1506338534811,4735,0.3840800063309468,4.127099990844727,0
1,3,s50,28,24,3,1,1506338539547,3160,0.13879908027303756,1.9478917121887207,0
1,3,s50,52,9,4,1,1506338542708,3696,0.3591611727608191,2.0797176361083984,0
1,4,c20,59,17,0,0,1506338549007,5127,0.7028831255424999,1.9871935844421387,0
1,4,c20,15,5,1,0,1506338554135,7449,0.3876548786094783,3.432384967803955,0
1,4,c20,77,12,2,0,1506338561585,6835,0.5151337163389003,3.5301733016967773,0
1,4,c20,82,8,3,0,1506338568421,5070,0.4302753906369765,3.065749168395996,0
1,4,c20,141,1,4,0,1506338573492,3908,0.18439662528100725,2.2661046981811523,0
1,4,c20,59,17,0,1,1506338577401,3261,0.38227690063917474,2.411252975463867,0
1,4,c20,77,12,1,1,1506338580663,3394,0.1857135735612192,2.6524229049682617,0
1,4,c20,15,5,2,1,1506338584060,2845,0.2038070491845035,1.3278064727783203,0
1,4,c20,82,8,3,1,1506338586907,6119,0.31936816915939253,5.884697914123535,0
1,4,c20,141,1,4,1,1506338593027,3696,0.25202288518547034,2.1839661598205566,0
1,5,s20,128,4,0,0,1506338613813,1285,0,0.04337310791015625,0
1,5,s20,130,19,1,0,1506338615099,4154,0.19011707205297942,2.9516115188598633,0
1,5,s20,47,8,2,0,1506338619254,2623,0.28484326736782994,2.150749683380127,0
1,5,s20,61,14,3,0,1506338621878,4422,0.24650860871171687,2.9943323135375977,0
1,5,s20,60,2,4,0,1506338626301,3954,0.37668542696073937,4.432428359985352,0
1,5,s20,61,14,0,1,1506338630256,6186,0.170518484362622,2.9354138374328613,0
1,5,s20,60,2,1,1,1506338636443,3686,0.4130978111966594,3.9050989151000977,0
1,5,s20,47,8,2,1,1506338640130,3640,0.29380622369132875,3.329468250274658,0
1,5,s20,130,19,3,1,1506338643771,2669,0.19498250271186185,1.7795906066894531,0
1,5,s20,128,4,4,1,1506338646441,3494,0.2349162735581677,2.5395727157592773,0
1,6,c50,52,2,0,0,1506338654169,2278,0.3006506756750239,1.1005096435546875,0
1,6,c50,97,19,1,0,1506338656448,4936,0.2512447969455112,3.4371042251586914,0
1,6,c50,24,27,2,0,1506338661385,9315,0.5610115439496163,11.090031623840332,0
1,6,c50,75,40,3,0,1506338670701,4031,0.10913477369822264,2.4262447357177734,0
1,6,c50,133,30,4,0,1506338674734,13591,1.0222162532129446,19.945598602294922,0
1,6,c50,97,19,0,1,1506338688326,3216,0.16250489050603284,2.0714364051818848,0
1,6,c50,133,30,1,1,1506338691543,2423,0.17694674781900355,1.7733664512634277,0
1,6,c50,24,27,2,1,1506338693967,6276,0.5533206531177964,7.821530342102051,0
1,6,c50,52,2,3,1,1506338700244,6656,0.366090605749377,4.399728298187256,0
1,6,c50,75,40,4,1,1506338706902,6633,0.9007447303005418,7.287443161010742,0
1,7,s150,26,89,0,0,1506338716897,17815,1.5664062808379366,19.117441177368164,0
1,7,s150,22,129,1,0,1506338734714,8041,0.7179623880814512,8.004661560058594,0
1,7,s150,111,38,2,0,1506338742756,23578,2.1143512301754432,25.83470392227173,0
1,7,s150,82,98,3,0,1506338766335,10654,1.4430102578232007,10.880464553833008,0
1,7,s150,122,25,4,0,1506338776990,25656,4.201118631062471,36.866766929626465,0
1,7,s150,22,129,0,1,1506338802647,16206,3.2784533597198835,28.940872192382812,0
1,7,s150,82,98,1,1,1506338818854,4623,0.7376503868330948,5.373743534088135,0
1,7,s150,26,89,2,1,1506338823478,4176,0.532665725107956,1.7293424606323242,0
1,7,s150,122,25,3,1,1506338827655,11337,2.874775377646144,19.338582515716553,0
1,7,s150,111,38,4,1,1506338838993,8487,0.8980075860770131,10.41718339920044,0
1,8,p50,73,14,0,0,1506338854964,4347,0.23217340984931942,0,0
1,8,p50,46,8,1,0,1506338859312,2332,0.1128147859229925,0,0
1,8,p50,1,46,2,0,1506338861645,1898,0.14317146362013766,0,0
1,8,p50,91,25,3,0,1506338863544,1584,0.06591345331891925,0,0
1,8,p50,138,32,4,0,1506338865129,2691,0.07651842883285401,0,0
1,8,p50,91,25,0,1,1506338867821,3194,0.08461753209566954,0,0
1,8,p50,73,14,1,1,1506338871016,1563,0.006548090908328739,0,0
1,8,p50,46,8,2,1,1506338872580,2043,0.08785714188587279,0,0
1,8,p50,1,46,3,1,1506338874625,2276,0.12571725195466485,0,0
1,8,p50,138,32,4,1,1506338876903,1718,0.10148879556784111,0,0
